,,,,,,,,,,,,,,,,,Debit,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Moneyflow,,Mod. Following,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,PSAK_MF_Pay Date Non-Attributable Fee (As Fee)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,PSAK_MF_Pay Date Non-Attributable Fee (As Fee)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Moneyflow,,Mod. Following,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,PSAK_MF_Pay Date Non-Attributable Fee (Linear)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,PSAK_MF_Pay Date Non-Attributable Fee (Linear)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),Accounting Expiry Day-1 Business Day,Yes,End of Day,,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,,Trade,,,,Credit,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI)|Fee Realized Non-Attributable Linear|Credit,Fee Realized Non-Attributable Linear,,
,,,,,,,,,,,,,,,,,Debit,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI)|Fee Realized Non-Attributable Linear|Debit,Fee Realized Non-Attributable Linear,,
Contract Trade Number,,Mod. Following,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,Accounting Expiry Day-1 Business Day,Yes,End of Day,,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,,Trade,FxRevalAICat,Instrument,,Debit,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY|Fee Realized Non-Attributable Linear Acc Curr|Debit,Fee Realized Non-Attributable Linear Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY|Fee Realized Non-Attributable Linear Acc Curr|Credit,Fee Realized Non-Attributable Linear Acc Curr,,
Contract Trade Number,,Mod. Following,PSAK_TD_Daily Non-Attributable Fee Amortization,Accounting Expiry Day-1 Business Day,Yes,End of Day,,PSAK_TD_Daily Non-Attributable Fee Amortization,Daily,Reverse and Replace,Accounting Value Day,,Trade,SendToEMAS,Yes,,Debit,PSAK_TD_Daily Non-Attributable Fee Amortization|Fee Realized Non-Attributable Linear|Debit,Fee Realized Non-Attributable Linear,,
,,,,,,,,,,,,,,,,,Credit,PSAK_TD_Daily Non-Attributable Fee Amortization|Fee Realized Non-Attributable Linear|Credit,Fee Realized Non-Attributable Linear,,
Moneyflow,,Mod. Following,DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,Accounting Moneyflow Pay Day,,End of Day,,DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,WHT,,Debit,DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Moneyflow,,Mod. Following,DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Credit,DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,DepoLoan Discounted_MF_Maturity Pay Date,Accounting Moneyflow Pay Day,,End of Day,,DepoLoan Discounted_MF_Maturity Pay Date,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,DepoLoan Discounted_MF_Maturity Pay Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,DepoLoan Discounted_MF_Maturity Pay Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,DepoLoan Discounted_TD_Daily Amortization,Accounting Instrument Expiry Date,Yes,End of Day,,DepoLoan Discounted_TD_Daily Amortization,Daily,Reverse and Replace,Accounting Value Day,,Trade,SendToEMAS,Yes,,Debit,DepoLoan Discounted_TD_Daily Amortization|Portfolio Realized Deprec Profit and Loss|Debit,Portfolio Realized Deprec Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,DepoLoan Discounted_TD_Daily Amortization|Portfolio Realized Deprec Profit and Loss|Credit,Portfolio Realized Deprec Profit and Loss,,
Contract Trade Number,,Mod. Following,Repo_MF_Pay Date Interest PL_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,Repo_MF_Pay Date Interest PL_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,FixedFloat,,Credit,Repo_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Credit,PSAK FI Interest Income Acc Curr,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Debit,Repo_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Debit,PSAK FI Interest Income Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Contract Trade Number,,Mod. Following,Repo_TD_Daily Interest Accrual_FCY (NI),Accounting Expiry Day-1 Business Day,,End of Day,,Repo_TD_Daily Interest Accrual_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,,,,Debit,Repo_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,,,,Credit,Repo_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
Contract Trade Number,,Mod. Following,Repo_MF_Pay Date Interest PL_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,Repo_MF_Pay Date Interest PL_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,Repo_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit,PSAK FI Interest Income,,
,,,,,,,,,,,,,,,,,Credit,Repo_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit,PSAK FI Interest Income,,
Contract Trade Number,,Mod. Following,Repo_TD_Daily Interest Accrual_FCY_ACCY,Accounting Expiry Day-1 Business Day,,End of Day,,Repo_TD_Daily Interest Accrual_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,,Trade,FxRevalAICat,Instrument,,Credit,Repo_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Credit,PSAK Accrued Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,Repo_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Debit,PSAK Accrued Acc Curr,,
Trade,,Mod. Following,DepoLoan Discounted_MF_Trade Date Principal,Accounting Moneyflow Trade Time,,End of Day,,DepoLoan Discounted_MF_Trade Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Credit,DepoLoan Discounted_MF_Trade Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,DepoLoan Discounted_MF_Trade Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Trade,,Mod. Following,DepoLoan Discounted_MF_Value Date Principal,Accounting Moneyflow Pay Day,,End of Day,,DepoLoan Discounted_MF_Value Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,DepoLoan Discounted_MF_Value Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,DepoLoan Discounted_MF_Value Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Bond_MF_Value Date Settlement,Accounting Moneyflow Pay Day,,End of Day,,Bond_MF_Value Date Settlement,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Bond_MF_Value Date Settlement|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Interest Accrual_FCY (NI),Accounting Instrument End Date Minus One Day,,End of Day,,Bond_TD_Daily Interest Accrual_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,,,,Debit,Bond_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Interest Accrual_FCY_ACCY,Accounting Instrument End Date Minus One Day,,End of Day,,Bond_TD_Daily Interest Accrual_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,FxRevalAICat,Instrument,,Credit,Bond_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Credit,PSAK Accrued Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,Bond_TD_Daily Interest Accrual_FCY_ACCY|PSAK Accrued Acc Curr|Debit,PSAK Accrued Acc Curr,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,Accounting Instrument End Date Minus One Day,,End of Day,,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,Daily,Reverse and Replace,Accounting Trade Time,Yes,Trade,FxRevalAICat,Instrument,,Credit,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY|Portfolio Book Unrealized Profit and Loss Acc Curr|Credit,Portfolio Book Unrealized Profit and Loss Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY|Portfolio Book Unrealized Profit and Loss Acc Curr|Debit,Portfolio Book Unrealized Profit and Loss Acc Curr,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Accounting Instrument End Date Minus One Day,,End of Day,,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Daily,Reverse and Replace,Accounting Trade Time,Yes,Trade,,,,Debit,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI)|Portfolio Book Unrealized Profit and Loss|Debit,Portfolio Book Unrealized Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI)|Portfolio Book Unrealized Profit and Loss|Credit,Portfolio Book Unrealized Profit and Loss,,
Contract Trade Number,,Mod. Following,Bond_MF_Daily Interest Accrual PL_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,Bond_MF_Daily Interest Accrual PL_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,Bond_MF_Daily Interest Accrual PL_FCY (NI)|PSAK FI Interest Income|Debit,PSAK FI Interest Income,,
,,,,,,,,,,,,,,,,,Credit,Bond_MF_Daily Interest Accrual PL_FCY (NI)|PSAK FI Interest Income|Credit,PSAK FI Interest Income,,
Contract Trade Number,,Mod. Following,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICat,Instrument,,Credit,Bond_MF_Daily Interest Accrual PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Credit,PSAK FI Interest Income Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,Bond_MF_Daily Interest Accrual PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Debit,PSAK FI Interest Income Acc Curr,,
Contract Trade Number,,Mod. Following,Bond_TD_Maturity Date Principal,Accounting Instrument Expiry Date,,End of Day,,Bond_TD_Maturity Date Principal,Daily,Default,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Credit,Bond_TD_Maturity Date Principal|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Debit,Bond_TD_Maturity Date Principal|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
Tax Lot Closing,,Mod. Following,Bond_TD_Trade Date Sell RPL_FCY (NI),ClosingTrade.TradeTime,,End of Day,,Bond_TD_Trade Date Sell RPL_FCY (NI),Daily,Default,ClosingTrade.TradeTime,,Trade,,,,Debit,Bond_TD_Trade Date Sell RPL_FCY (NI)|Portfolio Pure Realized Profit and Loss|Debit,Portfolio Pure Realized Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Trade Date Sell RPL_FCY (NI)|Portfolio Pure Realized Profit and Loss|Credit,Portfolio Pure Realized Profit and Loss,,
Tax Lot Closing,,Mod. Following,Bond_TD_Trade Date Sell RPL_FCY_ACCY,ClosingTrade.TradeTime,,End of Day,,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Daily,Default,ClosingTrade.TradeTime,,Trade,FxRevalAICat,Instrument,,Credit,Bond_TD_Trade Date Sell RPL_FCY_ACCY|PSAK Pure RPL Acc Curr|Credit,PSAK Pure RPL Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,Bond_TD_Trade Date Sell RPL_FCY_ACCY|PSAK Pure RPL Acc Curr|Debit,PSAK Pure RPL Acc Curr,,
Moneyflow,,Mod. Following,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Bond OCI/AC_TD_Trade Date Buy,Accounting Trade Time,,End of Day,,Bond OCI/AC_TD_Trade Date Buy,Daily,Default,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,Bond OCI/AC_TD_Trade Date Buy|Accounting Premium Rounded|Debit,Accounting Premium Rounded,,
,,,,,,,,,,,,,,,,,Credit,Bond OCI/AC_TD_Trade Date Buy|Accounting Traded Interest Rounded|Credit,Accounting Traded Interest Rounded,,
,,,,,,,,,,,,,,,,,Credit,Bond OCI/AC_TD_Trade Date Buy|PSAK Bond Fair Value|Credit,PSAK Bond Fair Value,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,,,,Credit,Bond_TD_Daily Premium/Discount Amortization_FCY (NI)|Portfolio Realized Deprec P/L split by Price|Credit,Portfolio Realized Deprec P/L split by Price,,
,,,,,,,,,,,,,,,,,Debit,Bond_TD_Daily Premium/Discount Amortization_FCY (NI)|Portfolio Realized Deprec P/L split by Price|Debit,Portfolio Realized Deprec P/L split by Price,,
Contract Trade Number,,Mod. Following,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Accounting Expiry Day-1 Business Day,,End of Day,,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,Yes,Trade,FxRevalAICat,Instrument,,Debit,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY|Portfolio Realized Deprec P/L split by Price (Acc Curr)|Debit,Portfolio Realized Deprec P/L split by Price (Acc Curr),,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY|Portfolio Realized Deprec P/L split by Price (Acc Curr)|Credit,Portfolio Realized Deprec P/L split by Price (Acc Curr),,
Contract Trade Number,,Mod. Following,Bond_MF_Daily Interest Accrual PL,Accounting Moneyflow Pay Day,,End of Day,,Bond_MF_Daily Interest Accrual PL,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,Bond_MF_Daily Interest Accrual PL|PSAK FI Interest Income|Debit,PSAK FI Interest Income,,
,,,,,,,,,,,,,,,,,Credit,Bond_MF_Daily Interest Accrual PL|PSAK FI Interest Income|Credit,PSAK FI Interest Income,,
Contract Trade Number,,Mod. Following,Bond_TD_Premium/Discount FVTPL Maturity Date,Accounting Instrument Expiry Date,,End of Day,,Bond_TD_Premium/Discount FVTPL Maturity Date,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Premium/Discount FVTPL Maturity Date|Portfolio Profit and Loss Remaining Premium Discount|Debit,Portfolio Profit and Loss Remaining Premium Discount,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Premium/Discount FVTPL Maturity Date|Portfolio Profit and Loss Remaining Premium Discount|Credit,Portfolio Profit and Loss Remaining Premium Discount,,
Trade,,Mod. Following,DepoLoan_MF_Trade Date Principal,Accounting Moneyflow Trade Time,,End of Day,,DepoLoan_MF_Trade Date Principal,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Credit,DepoLoan_MF_Trade Date Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,DepoLoan_MF_Trade Date Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Moneyflow,,Mod. Following,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Non-Attributable Fee (As Fee),,Debit,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Debit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Credit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Moneyflow,,Mod. Following,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Credit,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_Leg_Daily Interest Accrued_Pay,Accounting Leg End Day,,End of Day,,CCS/IRS_Leg_Daily Interest Accrued_Pay,Daily,Reverse and Replace,Accounting Leg Value Day,,Leg,SendToEMAS,Yes,,Debit,CCS/IRS_Leg_Daily Interest Accrued_Pay|Portfolio Instrument Accrued|Debit,Portfolio Instrument Accrued,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_Leg_Daily Interest Accrued_Pay|Portfolio Instrument Accrued|Credit,Portfolio Instrument Accrued,,
Contract Trade Number,,Mod. Following,CCS/IRS_Leg_Daily Interest Accrued_Rec,Accounting Leg End Day,,End of Day,,CCS/IRS_Leg_Daily Interest Accrued_Rec,Daily,Reverse and Replace,Accounting Leg Value Day,,Leg,SendToEMAS,Yes,,Debit,CCS/IRS_Leg_Daily Interest Accrued_Rec|Portfolio Instrument Accrued|Debit,Portfolio Instrument Accrued,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_Leg_Daily Interest Accrued_Rec|Portfolio Instrument Accrued|Credit,Portfolio Instrument Accrued,,
Trade,,Mod. Following,CCS/IRS_Leg_Trade Date Commitment,Accounting Leg Trade Time,,End of Day,,CCS/IRS_Leg_Trade Date Commitment,Daily,Reverse and Replace,Accounting Leg Trade Time,,Leg,SendToEMAS,Yes,,Debit,CCS/IRS_Leg_Trade Date Commitment|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_Leg_Trade Date Commitment|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
Contract Trade Number,,Mod. Following,CCS/IRS_Leg Maturity Date Commitment,Accounting Leg End Day,,End of Day,,CCS/IRS_Leg Maturity Date Commitment,Daily,Reverse and Replace,Accounting Leg End Day,,Leg,SendToEMAS,Yes,,Debit,CCS/IRS_Leg Maturity Date Commitment|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_Leg Maturity Date Commitment|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
Trade,,Mod. Following,CCS/IRS_Leg Closing Date Commitment,Accounting Leg Trade Time,,End of Day,,CCS/IRS_Leg Closing Date Commitment,Daily,Reverse and Replace,Accounting Leg Trade Time,,Leg,SendToEMAS,Yes,,Debit,CCS/IRS_Leg Closing Date Commitment|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_Leg Closing Date Commitment|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Pay Date Interest_Rec,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Interest_Rec,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,CCS/IRS_MF_Pay Date Interest_Rec|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Pay Date Interest_Rec|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Pay Date Nominal Exchange,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Nominal Exchange,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,CCS/IRS_MF_Pay Date Nominal Exchange|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Pay Date Nominal Exchange|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trdnbr and Moneyflow,,Mod. Following,CCS/IRS_MF_Nominal Exchange Commitment_Pay,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Nominal Exchange Commitment_Pay,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,CCS/IRS_MF_Nominal Exchange Commitment_Pay|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Nominal Exchange Commitment_Pay|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trdnbr and Moneyflow,,Mod. Following,CCS/IRS_MF_Nominal Exchange Commitment_Rec,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Nominal Exchange Commitment_Rec,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,CCS/IRS_MF_Nominal Exchange Commitment_Rec|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Nominal Exchange Commitment_Rec|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,CCS/IRS_MF_Closing Date Accrued Interest,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Closing Date Accrued Interest,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,CCS/IRS_MF_Closing Date Accrued Interest|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Closing Date Accrued Interest|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY_ACCY,Accounting Leg End Day,,End of Day,,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY_ACCY,Daily,Reverse and Replace,Accounting Leg Value Day,,Leg,FxRevalAICat,PayLeg,,Credit,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY_ACCY|PSAK Instrument Accrued Swaps Acc Curr|Credit,PSAK Instrument Accrued Swaps Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY_ACCY|PSAK Instrument Accrued Swaps Acc Curr|Debit,PSAK Instrument Accrued Swaps Acc Curr,,
Contract Trade Number,,Mod. Following,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY_ACCY,Accounting Leg End Day,,End of Day,,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY_ACCY,Daily,Reverse and Replace,Accounting Leg Value Day,,Leg,FxRevalAICat,RecLeg,,Credit,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY_ACCY|PSAK Instrument Accrued Swaps Acc Curr|Credit,PSAK Instrument Accrued Swaps Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY_ACCY|PSAK Instrument Accrued Swaps Acc Curr|Debit,PSAK Instrument Accrued Swaps Acc Curr,,
Contract Trade Number,,Mod. Following,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY (NI),Accounting Leg End Day,,End of Day,,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY (NI),Daily,Reverse and Replace,Accounting Leg Value Day,,Leg,,,,Debit,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY (NI)|Portfolio Instrument Accrued|Debit,Portfolio Instrument Accrued,,
