SETTLEINSTRUCTION,,,,,,,SETTLEINSTRUCTIONRULE,,,,,/SETTLEINSTRUCTIONRULE,/SETTLEINSTRUCTION
Delivery Free of Payment,Yes,623,Counterparty 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CP1_SEC_EUR_CHASUS33,Security,2020-04-29,Counterparty 1,,CP1_SEC_EUR_CHASUS33,,,
Delivery Free of Payment,Yes,623,Counterparty 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopTeteKidRqt6JQytLGFyMpfrvKyAP4wBefATWM8zMrr1ACCFSrA/7j33P1ID00DL0vFxXzatsaC2WqwWyD6HdLy/liXWXMzslW6b0cD1i36QUTbzFHnrjrGFCe2uWwrY1AOlqIJMMPnFWY25rrRWE3YijKamPvWazPKdAXlUayaFdag5a1eIHiOcw/ZJ5MFv1yf50Boqt6WJAm14pJqrhoaQNI9idS8Jjg5+4FD7fKioYnigWMQT7jgSdxp7V0TB8Ud7Dg5BrSq4hcTPeX3ZzFqTkT0rvtLJKRHXatkxRLRVUqlrowC2eCK6FjnO4oARPdBXlrKBVBouT7I881LElLQl2u2E2I7DA6MHe7AkdiIwtU2lG32R04uvsDMxUsPQZoqfkvg5y0/eAWQ5vCng7xBsh3gXh/EeSf5Pc3HKyJ+Q8S3KUkgf4fVPeMYLN7hRRSP/jikdfV3/jLj3T3AQSA81KJCWPXkrC+YAmA5YJSBrycjBNwJ33Yddn/M5w2vPYqmV/3zacdun/M/fOGb3cGqAr46oVB6a1C1dYwBuGJ6Nb9mW8Xc2tn/Nsl1f/6DDC7w,CP1_SEC_GBP_CHASUS33,Security,2020-04-29,Counterparty 1,,CP1_SEC_GBP_CHASUS33,,,
Delivery Free of Payment,Yes,623,Counterparty 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,CP1_SEC_USD_CHASUS33,Security,2020-04-29,Counterparty 1,,CP1_SEC_USD_CHASUS33,,,
Delivery Free of Payment,,717,Counterparty 1,!enc!IXppcHghNTY4MiF42u1YXU+DMBR9368g+wFWE33DJWRzT4a54Hwv7M5goMVSEvn3pu0+KLalJEZjZI9tL+f2nHPvbTYLgiAI11Gyfdw2wNqAtxUE9/MoK1e0xDmZL2aB/IW4fi9iuof6dOaJ0QoYb89H5JcYw46vyEMPBZRAuLYmU9hUAsAd7ZnJiHzsWXVzizhnPtl1chQhedpwGMyzD6RFuZEU2ikm4Swnr554ClMPGQaTUc/wwUegyJjaBrRsGAOStVcxLiFE6pwTHgl8x6XQ8VZWwlCPMYsgSFfEqDTSpLaa4QUXjb8RxooyVhC7GLtkNSSBi34n9YoryYSVp00FDHPKfKnKCTfc4iZEOeH2HE4oxhN1hgtY42xEFnvapIWpYmMch0jtmrPpgBlaD9J6j+mApW2JSNH6eq0TnXunoad6Uz+CdBfd50Yu6t6jl/sXhX852AvBXgVm/1ucf6Fc3LK3R+hwlmFKaWHI74CLGkIkdvuIhOrDFXWmq75hGsXTeJ7GcxcoKmlD+DSXhRo7sodDTmC/Sd8g476yhKgf+bvj8e6/j8epoUwNZWoo39dQbqf39s+/t6+n9/aff2/3fWNwjK9XvFxi9oevM/w84eOGcT7oO+CL9mbVB/QeobSmsWRL/l26LHDt/j9UfXOAL7XmUZV21tYJcK7MZSbwgqHRqJZ1Gi9XU+tHP8vlxSc6vZJV,CP1_USD_BKTRUS33,Cash,2020-04-29,,Counterparty 1,,CP1_USD_BKTRUS33,,
Delivery Free of Payment,Yes,893,Counterparty 1,!enc!IXppcHghMTQ4ODcheNrtm99umzAUxu/7FKgPUHfSdscqRWkjVZqSVUl375DTjglsZow03n6yaRLMbDDbNKndl6vI2JyPcw7fjz/JRZIkSbpabB8+PTSk2kS3FSUfLxdZeStLnovLm4vEflJefy/W8kD1cc5nJStSuj1NsXtSio/sxU66K6gkoZ0xK2FTmQDjqyOVzNATVtXXttBaxajraTRL8n2jaVLnMJCzajxSF+24ZqtVLp4j43Ux3SXTweyqHf3QM6LYNXUo0FI2QpOquNLt1ZqXlLJu7qgEZjSMHBh7ObJg0tgga4GiMLcq3mozp9zBhvjCiya+GR7FgZ5yQYfN/htlOrZCKRuuDEu2goJyNxUprqWKVZwLn8h3KcvFiIZjFO+MOuMFrXg2Q8VBNvvCd/Ks+Tpl3Va/ml4wjwswxwZ8EwIOYlYaFxq4GDvZmMfeolM/I+lj6T55qjn9Imw13jTirSJsEGE/8LtA4Nw/p9wc5WCbkNMq072UhUffEy9qSpnZOowopMs51gOdu8FHRZASpOwH2il+oKt7UWvVmBKYr7u2AjDfEjCvAUwAE8AEMAHMP7+1bJQikeG28veLMrcg4WI8bm+nSjCW/tHU434WeAaegWfg+fXdz25J64KWXNOzVO3ya3GvqQSx8SAY4AQ4AU6AE+CcfBAMhoKhYCgYCoaCoWBoHEPx4hQvTgFHwBFwBBwBRzfQojQ/ygUe3xAeP/zveIShwFBgKH/PUN7jevvfX29f43r71V9vD/vG0zGxvRLVJf7+iO2MuJ6I6YZ5fTDsgF9q76/6RL1nVNqpsc2W/Y/ksuD1+J8gu31O5Ksbizgrw1lbdW99THP5E3iO4aSxG3bTeD60bvyln+3wzU8lyIKf,CP1_USD_CHASUS33,Cash,2020-04-29,,Counterparty 1,,CP1_USD_CHASUS33,,
Delivery Free of Payment,,893,Counterparty 1,!enc!IXppcHghMTQ4ODcheNrtm99umzAUxu/7FKgPUHfSdscqRWkjVZqSVUl375DTjglsZow03n6yaRLMbDDbNKndl6vI2JyPcw7fjz/JRZIkSbpabB8+PTSk2kS3FSUfLxdZeStLnovLm4vEflJefy/W8kD1cc5nJStSuj1NsXtSio/sxU66K6gkoZ0xK2FTmQDjqyOVzNATVtXXttBaxajraTRL8n2jaVLnMJCzajxSF+24ZqtVLp4j43Ux3SXTweyqHf3QM6LYNXUo0FI2QpOquNLt1ZqXlLJu7qgEZjSMHBh7ObJg0tgga4GiMLcq3mozp9zBhvjCiya+GR7FgZ5yQYfN/htlOrZCKRuuDEu2goJyNxUprqWKVZwLn8h3KcvFiIZjFO+MOuMFrXg2Q8VBNvvCd/Ks+Tpl3Va/ml4wjwswxwZ8EwIOYlYaFxq4GDvZmMfeolM/I+lj6T55qjn9Imw13jTirSJsEGE/8LtA4Nw/p9wc5WCbkNMq072UhUffEy9qSpnZOowopMs51gOdu8FHRZASpOwH2il+oKt7UWvVmBKYr7u2AjDfEjCvAUwAE8AEMAHMP7+1bJQikeG28veLMrcg4WI8bm+nSjCW/tHU434WeAaegWfg+fXdz25J64KWXNOzVO3ya3GvqQSx8SAY4AQ4AU6AE+CcfBAMhoKhYCgYCoaCoWBoHEPx4hQvTgFHwBFwBBwBRzfQojQ/ygUe3xAeP/zveIShwFBgKH/PUN7jevvfX29f43r71V9vD/vG0zGxvRLVJf7+iO2MuJ6I6YZ5fTDsgF9q76/6RL1nVNqpsc2W/Y/ksuD1+J8gu31O5Ksbizgrw1lbdW99THP5E3iO4aSxG3bTeD60bvyln+3wzU8lyIKf,CP1_USD_CHASUS33_OVERACT,Cash,2020-04-29,,Counterparty 1,,CP1_USD_CHASUS33_OVERACT,,
Delivery versus Payment,Yes,623,Counterparty 2,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CP2_DVP_EUR_CHASUS33,Cash and Security,2020-04-29,Counterparty 2,Counterparty 2,CP2_SEC_EUR_CHASUS33,CP2_EUR_CHASUS33,,
Delivery versus Payment,Yes,623,Counterparty 2,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,CP2_DVP_USD_CHASUS33,Cash and Security,2020-04-29,Counterparty 2,Counterparty 2,CP2_SEC_USD_CHASUS33,CP2_USD_CHASUS33,,
Delivery Free of Payment,Yes,623,Counterparty 2,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CP2_EUR_COBADEFF,Cash,2020-04-29,,Counterparty 2,,CP2_EUR_COBADEFF,,
Delivery Free of Payment,Yes,623,Counterparty 2,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CP2_SEC_EUR_CHASUS33,Security,2020-04-29,Counterparty 2,,CP2_SEC_EUR_CHASUS33,,,
Delivery Free of Payment,Yes,623,Counterparty 2,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,CP2_SEC_USD_CHASUS33,Security,2020-04-29,Counterparty 2,,CP2_SEC_USD_CHASUS33,,,
Delivery Free of Payment,Yes,623,Counterparty 2,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,CP2_USD_COBADEFF,Cash,2020-04-29,,Counterparty 2,,CP2_USD_COBADEFF,,
